,Date,Open,High,Low,Close,Volume,Adj Close
1136,2019-08-27,10386.21,10431.78,10368.96,10387.23,123691150,10387.23
1137,2019-08-28,10397.6,10456.3,10397.6,10434.29,102092710,10434.29
1138,2019-08-29,10440.15,10466.99,10406.49,10462.43,104248701,10462.43
1139,2019-08-30,10504.28,10618.05,10504.28,10618.05,148217313,10618.05
1140,2019-09-02,10613.19,10634.85,10589.42,10634.85,105848766,10634.85
1141,2019-09-03,10629.22,10650.15,10557.03,10558.21,105576630,10558.21
1142,2019-09-04,10566.32,10670.43,10566.32,10657.31,107093495,10657.31
1143,2019-09-05,10718.4,10766.6,10714.27,10756.93,154662076,10756.93
1144,2019-09-06,10783.46,10803.07,10753.45,10780.64,131307112,10780.64
1145,2019-09-09,10808.68,10829.44,10778.15,10801.14,116733239,10801.14
1146,2019-09-10,10791.95,10810.03,10732.78,10753.58,121338149,10753.58
1147,2019-09-11,10787.65,10815.59,10746.87,10790.35,119937918,10790.35
1148,2019-09-12,10830.25,10862.68,10804.02,10827.55,120872610,10827.55
1149,2019-09-16,10822.69,10898.13,10822.69,10898.13,119576476,10898.13
1150,2019-09-17,10908.85,10912.23,10866.43,10874.5,117546612,10874.5
1151,2019-09-18,10887.42,10971.54,10878.34,10929.45,130465246,10929.45
1152,2019-09-19,10947.62,10954.18,10874.66,10894.7,114671101,10894.7
1153,2019-09-20,10908.1,10931.76,10903.45,10929.69,147979570,10929.69
1154,2019-09-23,10924.81,10948.19,10905.92,10919.02,106841124,10919.02
1155,2019-09-24,10917.44,10947.53,10886.62,10918.01,109707784,10918.01
1156,2019-09-25,10885.67,10885.67,10825.85,10873.69,106259302,10873.69
1157,2019-09-26,10909.57,10934.91,10856.96,10871.99,116018960,10871.99
1158,2019-09-27,10904.0,10921.17,10827.61,10829.68,124771598,10829.68
1159,2019-10-01,10855.6,10967.65,10855.6,10967.65,149848845,10967.65
1160,2019-10-02,10945.92,10965.2,10927.39,10947.88,116950887,10947.88
1161,2019-10-03,10866.5,10888.4,10809.28,10875.91,121716043,10875.91
1162,2019-10-04,10907.69,10941.49,10854.12,10894.48,123565120,10894.48
1163,2019-10-07,10932.24,10954.45,10919.43,10935.06,114385433,10935.06
1164,2019-10-08,10986.01,11020.51,10986.01,11017.31,131019533,11017.31
1165,2019-10-09,10976.93,10989.39,10889.96,10889.96,130464900,10889.96
1166,2019-10-14,11004.74,11085.49,11004.74,11066.95,162700159,11066.95
1167,2019-10-15,11103.5,11126.45,11091.29,11111.8,137604345,11111.8
1168,2019-10-16,11166.17,11180.11,11113.18,11162.83,148047483,11162.83
1169,2019-10-17,11156.14,11186.88,11131.45,11186.88,123696605,11186.88
1170,2019-10-18,11190.21,11237.38,11154.86,11180.22,146372636,11180.22
1171,2019-10-21,11166.24,11188.13,11147.86,11184.15,103208483,11184.15
1172,2019-10-22,11221.19,11271.25,11218.25,11271.25,127442198,11271.25
1173,2019-10-23,11266.18,11281.12,11209.1,11239.67,140827622,11239.67
1174,2019-10-24,11266.84,11320.14,11254.59,11320.14,143341067,11320.14
1175,2019-10-25,11336.64,11347.18,11281.37,11296.12,130442292,11296.12
1176,2019-10-28,11321.99,11341.03,11295.44,11315.02,117562129,11315.02
1177,2019-10-29,11347.39,11373.95,11292.83,11333.87,146743840,11333.87
1178,2019-10-30,11336.97,11380.28,11306.95,11380.28,125156944,11380.28
1179,2019-10-31,11393.68,11428.42,11358.71,11358.71,156079437,11358.71
1180,2019-11-01,11373.7,11399.53,11335.51,11399.53,137456384,11399.53
1181,2019-11-04,11451.72,11559.07,11451.72,11556.85,158495071,11556.85
1182,2019-11-05,11576.18,11644.03,11576.18,11644.03,156219278,11644.03
1183,2019-11-06,11645.08,11668.2,11601.7,11653.07,161159026,11653.07
1184,2019-11-07,11642.91,11647.47,11552.08,11606.56,141648262,11606.56
1185,2019-11-08,11620.89,11642.41,11561.31,11579.54,141593377,11579.54
1186,2019-11-11,11570.33,11570.33,11409.83,11427.28,153909682,11427.28
1187,2019-11-12,11463.33,11520.37,11459.68,11520.37,119562603,11520.37
1188,2019-11-13,11483.24,11509.37,11439.09,11467.83,116677435,11467.83
1189,2019-11-14,11488.74,11498.25,11424.77,11450.42,132213499,11450.42
1190,2019-11-15,11485.46,11552.25,11485.46,11525.6,131944671,11525.6
1191,2019-11-18,11543.8,11599.78,11532.97,11599.78,109866168,11599.78
1192,2019-11-19,11608.48,11656.4,11576.79,11656.4,123621007,11656.4
1193,2019-11-20,11645.73,11649.07,11591.73,11631.2,118273530,11631.2
1194,2019-11-21,11573.84,11573.84,11478.43,11558.27,121873242,11558.27
1195,2019-11-22,11556.75,11577.02,11534.15,11566.8,109457156,11566.8
1196,2019-11-25,11590.81,11604.75,11559.33,11561.58,113532597,11561.58
1197,2019-11-26,11608.37,11642.96,11576.82,11576.82,201967550,11576.82
1198,2019-11-27,11590.81,11651.73,11590.81,11647.46,109927474,11647.46
1199,2019-11-28,11641.7,11654.06,11604.68,11617.08,106271341,11617.08
1200,2019-11-29,11616.88,11623.59,11485.16,11489.57,121432338,11489.57
1201,2019-12-02,11509.94,11524.85,11454.38,11502.83,114881791,11502.83
1202,2019-12-03,11473.32,11531.58,11460.06,11531.58,109779767,11531.58
1203,2019-12-04,11511.82,11513.83,11457.43,11510.47,109493400,11510.47
1204,2019-12-05,11546.75,11604.39,11546.75,11594.65,125131393,11594.65
1205,2019-12-06,11639.8,11657.65,11577.83,11609.64,112574170,11609.64
